,writer,date,review
75,Szn,2023.08.08. 17:01,- 본인이 병원에서 진료를 본 후기나 치료 후기를 회원들에게 알려주세요.- 병원과 의사명은 카페 회칙에 따라 초성으로 작성해 주시기 바랍니다.==================================================집근처 보건복지부 지정 관절전문병원으로 왔는데 mri 찍어보니까 맨아래 디스크가 튀어나와있고 안하얗더라구요.... 설명 듣느라 찍을 생각은 못했는데 심한편이 아니고 어려서 견인치료랑 약물치료하면 괜찮아질 것 같다고 하시네용!! 어제 안물어봤음 또 그냥 대충 물리치료만 받으러 갔다왔을 것 같은데 많은분들이 알려주셔가지고... 진짜진짜 감사합니다!!ㅠㅠ======================================================
76,호숨,2023.08.08. 12:25,"그동안 수도 없이 많은 병원을 다녔습니다..ㅅㅇㄷㄱㄴㅅㅂㄹㅅㅅㅇ ㅇㅅㅅㅅ ㅅㅇㄱㅎㅇㄹㅇㅍㅊ ㅎㄹㄷ 가기전에 갔던 병원들인데, mri 보자마자 이정도론 수술 안해준다 다 가라고 하더라구요..그래서 예약해놓았던 ㅍㅊㅎㄹㄷ 진료가 다가와서 어차피 아무 문제 없다 할거 같아서 안갈려 했는데 그냥 마지막이라는 생각으로 갔습니다, 근데 여기 교수님은 손가락 테스트 등등 해보시더니 뭔가 이상하다고 추적 관찰 해보자고해서 10개월간 진료를 받았는데, 저번주 진료때, 조심스럽게 수술을 하자고 하셨습니다. 근데 10개월간 진료 받으면서 좀 게임 NPC처럼 말씀하시지만, 정말 꼼꼼하게 몸상태 매번 체크해주시더라구요.. 그래서 믿음이 가기는 하는데, 그동안 다녔던 병원들도 나름 유명한 경추 전문의분들이신데, 이 병원에서만 척수증 진단을 받아서 수술 하자고 하는게 조금에 혼동은 있습니다.. 어떻게 하는게 좋을까요.. 믿고 수술을 하는게 좋을지 진료 봤던곳들중에 예약해서 한번더 체크를 해봐야 하는것인지.. 위에 병원들과 2차병원들 다 합쳐서 아무도 수술하자고 말했던곳은 없었습니다."
77,유리미55,2023.08.08. 06:28,"같은 MRI영상을 보면서의사선생님 따라 설명이 달라지네요5월에 포항 ㅅㅁㄱㄷㅂㅇ에서는수술아니고 치료방법이 없고 이 상태로 걷는것도 대단하시다고 .....해서 고민을 많이 했는데.....MRI 볼때 4번5번 붙어 있다고 설명하셨어요 (협착증)1. 진료의뢰서2. MRI자료 CD3. MRI판독지 (1,000원)4. 신분증준비 해서7월31일 서울 ㄱㄹㄷㅎㄱ ㄱㄹ병원에서는디스크가 조금 밀려나왔고사진을 보여주면서 어떤부분이 조금 두껍게 되었다고...수술할지는 본인이 판단해야 한다고크게 불편하지 않으면 그대로 지내고 본인이 문제가 있다고 판단되어 원한다면내시경 수술하자고 했습니다.멀리에서 왔으니 위중한 병이 아니기때문에 약(하루 3번 먹는 오팔몬 정)처방 해줄테니 3개월후에 오는데....가까운 병원에서 물리치료도 주사도 맞아도 된다고.......의사선생님께서친절하시고 명쾌하게 이야기하시니질문도 한것도 없이 3개월뒤 예약하고진료 끝내고 왔습니다.아들이 더 나은 생활을 위해서 수술하는게 맞을것같다고 해서고민이 됩니다.내시경 수술하신분 경험담을 듣고 싶습니다. ^^현재 상태는허벅지 뒤가 당기고걸음걸이가 뒤로 젖혀지고 멀리서 봐도 허리 아픈사람천천히 걸으면 한시간 정도는 걸을수 있어서 (바닷가 모래사장에서 맨발걷기)수술하지 않고 잘 지내고 싶어서 카페에 와서 열심히 공부하고 있습니다"
78,왕찡,2023.08.07. 22:34,"저도 회사연차 일주일 내고 병원투어 했네요.7곳이나 다녔습니다.척전5곳..대학병원2곳...증상은 양발바닥만 저리고 땡기는 증상.마지막 진료본곳은 ㄱㄷㄱㅎㄷ 병원인데 제가다녀본곳중에 제일 좋았던거 같습니다.교수님 만나기전에 문진한다고 인턴비슷한분이 mri,x-레이봐주시면서 하나하나 물어봐주시고 질문에답도 잘해주시고...나와서 기다리다 교수님뵙고예기해주시는데 시간구애없이 질문에 답해주시고예기도 해주시고 너무 좋았네요.사진상으로는 심하지 않은데 통증을 많이 느끼는사람이 있고 심해도 통증을 못느끼는 사람도 있고 약부터 치료해보자고 하셨는데 대리처방이 안된다하여 주사는자주맞으면 않좋다고 합니다.그래서 시술예기가 나왔는데 교수님이 시술도 케바케이다.10명중 7-8명은 좋아질수도 있지만 10명다 한다고 좋을순없다.심한분들이 수술하기전에 해볼수있는 치료중 하나이다.라고 말씀 하시네요.가감없이 아주 솔직하게 예기해 주셔서 좋았어요.뒤에 기다리는분이 있는데도 한15-20분정도 진료본거같네요.결국 약2주치 처방받고 2주에 보는걸로 했는데저는 수요일 ㅇㅅㅂㅇㅅㅈㅇ교수님에게 시술예약 되어있네요.진료본곳중에 제일 좋았습니다."
79,Hyeok1234,2023.08.07. 21:07,"아침 08:00 수납처가서 검사비, 진료비 납부곧바로 2층 체혈실가서 피뽑고,척센으로 가서 MRI 동의서 싸인.다시 2층으로 가서 조영제 알러지 예방주사 접종.09:00~11:00 일반 mri, 조영 mri 촬영두시간동안 꼼짝없이 누워 넘 힘들었네요 ㅠㅠ촬영마치고 척센에 가보니 내 이름이 대기 두번째로 이미 올라가 있네요~(역시 간호사님들 쎈쓰쟁이~감사합니다~)김교수님 들어오셔서 언제나처럼""오래 기다리시게 해서 죄송합니다"" 란 말씀으로 진료 시작~!!!촉진검사하시고 나서 mri 수술 전/후 비교해 보여주시며""너무 관리를 잘 해온거 같다, 신경반응을 보니 일반인과 똑같은 수준이다. 신경쪽은 신경쓰지 않아도 되겠다. 근육도 시간이 조금 걸릴뿐 해결될 것이다.""단, 웨이트트레이닝 때 갑자기 고중량을 드는 행위만 조심하라고 당부하시며 1년 뒤 뵙기로하고 오늘 진료를 마쳤습니다.정말 교수님께 감사드릴 뿐입니다. 이렇게 큰 불편없이 다시 운동하며 살아갈 수 있도록 해 주셔서요!교수님께 수술 기다리시는 분들은 걱정마시고 수술 전 까지 좋은음식 잘 드시고, 푹 주무시면서 잘 준비하시길 바랍니다."
80,람찬2,2023.08.07. 12:56,부산입니다.ㅂㅂㅇ 50대50이다. 보존치료하다가 증상 더 나오면 바로 수술하자.ㅈㅇㅁㅎㅂㅇ 디스크에 물기가 보인다. 물기 없어지길 기다리자.입니다.현재 증상은가끔 오른쪽 엄지 쪽 근육 튐이틀 전부터 허리 아픔가끔 오른 다른 안쪽 허벅지 근육튐항상 어깨 아픔어제부터 왼쪽 팔 저림걷는데 이상감각그동안 다리 무거움 왼쪽다리 빠짐 증상이었는데어제부터는 가벼운데 휘청이는 느낌? 힘 빠지는 느낌? 같은게 느껴짐11일 ㄷㅇㄷ하고 ㄱㄱㅁㅅ365 원장님 예약 잡았고다음주 14일 서울 ㅎㅇㄷ 예약잡았습니다.이게 아픈거는 이악물게 참겠는데마비가 온다는 공포감이 진짜 사람을 좀먹는군요...
81,왕찡,2023.08.07. 12:40,"오늘 길동 ㄴㄱㅅ병원장님 내원하여 진료를 봤습니다.외부mri판독비30,000원X-레이 따로 찍고 진료실 들어가니 불편한곳이 어디냐고 하길래 양발바닥 이 저리고 땡긴다 했습니다.앉거나 운전할때 더 저리다.애매하답니다.제나이에 50%는 다 저정도 된다고 하면서 아프고 안아프고 차인데...허리때문일수도 있고 다른문제일수도 있기때문에근전도검사와 영상을통해서 순환이 잘되는지 어디가안되는지 알수있는 검사해보면 허리인지 아닌지 알수있고 아니면 허리에 주사치료 해줄테니 맞아보고몇일후 내원하던 선택을 하라네요.ㅈㅇㅁㄷ,ㅂㄷㅊ,ㅇㄹㄷ,ㅇㅅ 병원에서는 mri보고 허리 예기하던데..어째뜬 근전도와 낼 영상검사 예약하고는 왔네요.비보험이라 비싸네요.오후에 ㄱㄷㄱㅎㄷ예약있는데 마지막 진료가 될듯 합니다.수요일 신경성형술 잡아놔서...저도 허리문제가 아닌 다른쪽이였음 좋겠네요."
82,카타프리카,2023.08.07. 12:39,"7월20일 수술 후 26일 퇴원 후 첫 외래했어요.원래날짜는 9월1일이나 왼쪽다리 통증이 심해 앞당겨 진행하였습니다.단방향내시경 한터라 레지던트에게 이것저것 물어봤는데요.1.현재 쇼파에 앉아 생활하는데 괜찮은지 물어봤고요.2.대표적 주의점 물어봤어요.-답변-수술 케이스 마다 다르다하며,저는 쇼파와 의자생활 해도 특별히 문제되지 않다네요.그리고 주의사항 척추환자들의 대표적사항인 바닥에 앉는거랑 자는건 금지시켰어요.또한 다리통증으로 현재 신경통약과 근이완제, 진통제 먹고있는데 그래도 아프다고하니주치선생님께서 소염진통제와위장약 처방 후 3주후에 오라고합니다.현재 천천히 걷기운동30분정도하는데 그사이 좋아져야 본격 재활운동하는데 걱정이네요."
83,루시 외숙모,2023.08.07. 11:49,72세 협착증 허리 유압수술(핀18개후)2회 걸쳐서 수술두번째 수술후 2주 지났습니다.평행봉잡기 걷기 1회 재활정도만 옆에서 붙잡아주면 20분 그여 하는정도 가능하고 아직 걷기는 혼자힘으로는 못하시고 다리근육이 다 빠지셔셔 화장실도 혼자 못가세요.계속 누워서만 ㅜㅜ무릎이 아파서 더 못걸으시고 오른다리는 거의 힘이 없어서 누워서 들어올리기 안되요.설사4흘5~ 8회씩해서 어제부터 설사 멈춰서 일반식가능 오래걸릴것같다고 이제 재활과로 바꿔야할꺼같다고 하네요.수술비 중간정산 천칠백 나왔네요 ㅜㅜ재활과로 가는게 맞는거겠죠?재활과는 더 체계적으로 재활 해주겠죠 ㅜㅜ이제 환사 본인의 의지만 남은거겠죠?무릎아픈건 또 어찌 해드려야 하는지 답이없네요 ㅜㅜ자세한 설명도 안해주고 답답하네요.젤아픈곳이 무릎이라는데 ㅜㅜ
84,슈클미,2023.08.05. 21:18,- 나만의 특별한 통증을 관리하는 방법을 카페 환우들에게도 소개해 보세요.- 병원과 의사명은 카페 회칙에 따라 초성으로 작성해 주시기 바랍니다.몇년전에 허리 시술 받으면서 목도 했었는데목은 워낙 핸드폰에 직업상 컴터업무라서 시술하고좋아졌다가 몇년 지나니 편두통이 너무 심해져서어딜갈까하다 목디스크 때문일것 같아서 오랫만에저번주 부터 병원다녀왔어요 😭진짜 깨질거 같이 뒷꼴땡기듯 아픈거라 삶의 질이 뚝뚝병원가니 전에랑 엑스레이 상태는 그대로라고근데 제가 아프니 시술 했는데 저번주 했을땐 두통만 나아지고 목뻐근한건 계속 되서 안나음어쩔까 걱정했는데오늘 시술 받고 와서 한숨 자고 나니 개운하네요 ㅎ😆삶의 질이 달라지다보니 다니는 병원 가격은다른데 보다 좀 나가는 편인거 같은데 효과가 좋으네요그래서 먼길 다녀왔어요🥹아프시면 돈아깝다 생각마시고 병원 꼭가서 진료받고 치료받으세욧 삶의 질이 달라집니다허리는 잘때 100프로 통증이라 하면 5-10프로 정돈 최근 아파서 ( 자세가 엉망 🥲) 담주 가서 여쭤봐야 겟어요🙌🏻첨에 병원가서 원장님 자신 만만 하시길래 모지 하고 속으로 의심하고 그런게 ㅋㅋ 자신만만에 이유가 있던👍🏻더운데 모두 걱정 잘챙기셔욧
85,데데맘,2023.08.05. 18:54,3.5개월 정도 버텼으나 방사통이 점점 심해지고 나을 기미가 전혀 안보여서(약이나 신경차단술 전혀 효과 x) 주치의 선생님 권유에 따라 대학병원에 수술 상담 받았습니다.ㅅㅊ ㅅㅂㄹㅅ ㅅㄷㅇ 교수님으로 받았고 다른 분 후기에서 수술 잘 권유하지 않으신다고?봤는데 자리에 앉고 제 mri 보시자마자 이정도면 수술이라고 하셨어요.. 젊어서 어지간하면 보존 하고싶어서 수술 없이 버텨보고 싶다 하니 매우 오래 걸릴 거라고(최소 6개월-1년) 근데 그조차도 흡수될 지 장담 못하니 굳이 오래 고생하지 말고 수술하자 하셨습니다. 신경이 오래 눌리면 후유증이 남을 수도 있구요. 대학병원이라 진료는 매우 짧았으나 교수님 신뢰는 가더라구요.이틀 고민하다가 저도 일상 생활이 불가하고 최근엔 발바닥까지 저림이 내려와서 더이상은 버티기만 하는건 아니다싶어 가장 빠른 날로 수술 잡았습니다. 24시간 이 방사통 안고 있으니 너무 힘들고 만성피로까지 와요...몸이 항상 시달리고 있어서 그런가봐요ㅠㅠ 힘들어서 요새 자꾸만 눈물이 났는데 차라리 수술 날짜 잡고나니 나아질거란 희망에 정신적으로는 더 후련한 것 같네요~ 고민하시는 분들 수술 상담이라도 대학병원에 받아보시길 추천드립니다.
86,퐁퐁ㅋㅋ,2023.08.05. 00:15,"ㄱㄴ , ㅅㅊ ㅅㅂㄹㅅ ㅂㅅㅇ,ㅇㅅ 교수= 수술 안해준다 통증으로인해서는 신경차단술 주사 맞어라 팔다리가 정상이다통증의학과로 돌림 ㅈㅁㅅ 교수 그냥 맞고보자ㄱㅎㄷ ㅇㄹㅇ ㅇㅈㅎ ㄱㅅ이야기를 잘들어주나 수술은 아까우니 마약먹고 견뎌라ㅍㅊㅎㄹㄷ ㄱㅅㅇ 교수통증이고 나발이고 신경 이중요함 잘움직이나 팅기나이게정상이니 그냥 가라저는 아파서 뛰어내리고싶은데 징그럽네요 인생"
87,담송송,2023.08.04. 13:31,"광주에서 목디스크 3,4,5,6,7 와 허리디스크 4.5번 진단받은후 ㅂㅎㅂㅇ, ㅎㄹㄷ 후기올렸었는데요. 마지막으로 ㅅㅂㄽ ㄱㄳ 교수님 진료까지 공유드려요2시예약이었는데 진료는 4시정도에 봤습니다. 그리고 진료는 2분컷? ㅎㅎ진료의 목적은 척수증 증상이 있는지 심각한 정도를 체크해보기 위한것이니 짧아도 괜찮다라는 마음으로 갔기에 크게 억울하진 않지만 너무 짧고 바쁘시긴 하더라구요...보시고는 심각한건 없으니 6개월 후에 보자고하시더라구요.. 그리고 몇가지 질문할게 있다고 하니 하라고 하시더라구요.1. 흡수될 수 있나요? > 될수도 있고 안될수도 있다 6개월 후에 mri 찍어보자2. 신전운동이 도움 될까요? > 유투브 보지말고 목 주변 스트레칭이나 잘 해라.4. 처음 mri 찍은 병원에서는 심하다며 수핵 성형술하자고 했다 .. 해야하나? > 난 잘 모르겠다. (대답회피)3. 또 물어보려 하자.. 중요한건 지금 심각한 병 아니니 그냥 일상생활해라 끝!ㅎㅎㅎㅎ심각하지 않다고 하지만 이렇게 아리고 불안한데... 다른 환우분들은 얼마나 힘드실까 하는 짠함과 답답함이 밀려오더라구요...모두 힘내시고 잘 이겨냈으면 합니다."
88,쵸쿠송이,2023.08.04. 12:45,"척추 추간판 2곳(4~5번,5~6번) 탈출로 오늘 대학병원 진료 받았어요ㅇㄷㅁㄷㅂㅇ가서 ㄱㅇㄷ교수님께 받았어요1개월 전 찍은 mri보시면서 증상들 물어보시고 심한거 아니라면서 일단 약부터 먹어보자고 하시네요그리고 2주 뒤에 다시 오라고 하셨어요어제 ㅊㅍㄷㄴㅁㅂㅇ도 방문해서 진료봤는데 mri보시면서 자세하게 설명 잘 해주셨어요왜그런지도 설명도 잘 해주시고요 본인이 많이 힘드니 시술로 시간 안 끌고 바로 양방향내시경 하라고 하시더라구요일단 생각하보기로 하고 왔어요일단 대학병원에서 처방해준 약 먹어보고 차차 경과를 보려고합니다"
89,냥이냥,2023.08.04. 06:06,교수님 듣던대로 온화하시고 고ㅓ묵하십니다임터넷 찾아보지말라 당부하시네요나이가 33세인데ㅠㅠ3살 아이도 있구요2번 분리증으로 17mm 벌어져서이나이에 신경손상 이만큼이면나중엔 못걷는다고 당장 수술하라시네요두통 경추통 빼고 다른 증상은 아직 없습니다혈압이 너무 낮아 수술하면 못깨어날수도 있어요원래 이렇게 수술 권하시나요..?좀 미루고싶습니다만일 수술하면 ㅂㄷㅅㅇㄷ ㅇㅈㅅ교수님이 더 낫나요..진단서를 3개월로 끊어주시던데 재활의학과가면 연장가능한가요..? 도저히 3개월만에 복직할 자신도 없고..
90,마술,2023.08.03. 23:54,엠알도 병원비 비싸더라도 영상 전문가가 있는 병원에서 찍는 것이 맞는 거 같아요척추 때문에 엠알 여러번 찍어봤지만 흉흉한 병원에서 무서운 경험을 해서요3개월 전에 흉추 엠알 찍는데 시간을 보니 한 시간 정도...찍는 동안 심장이 찢어지는 줄 알았어요 계속 가슴부위에 기계 왔다갔다 하는데 가슴 부위에서 30이상을 비비비비빅빅빅 (중간에 소리지르고 나가고 싶었지만 또 찍을까봐 쫌만 버티자 한것이 한이되네요)하도 이상해서 다른 병원에 가서 영상 판독하면서 이래이래 했다고 얘기하니 선생님께서 얘기해 주시더라군요 .....(혹시라도 책임질 문제가 생길까봐 직접적으론 얘기 안 하시고)
91,쏘혁,2023.08.03. 14:37,서울처럼 정보가 많지 않아충청권분들게 도움되실까 싶어 올려봅니다가기전까지 정보가 적어 카페 후기들에 질문댓글 남겼는데 그때마다 도움주신 환우분들 정말 감사합니다!
92,다인파파,2023.08.03. 14:27,안녕하세요저는 41살 남자구요…7월20일 디스크 파열 진단 받고 ㄱㄴㅅㅅㅂㅇ 진료 다녀왔어요 mri 찍은데선 mri를 보면 수술해야하는데 제가 통증을 많이 느끼지 못하니까 일단 지켜보자고 했고 그날 프롤로 주사를 한방 맞고 왔어요…그리고 mri찍기전에 c-arm 주사 맞았던 정형외과에서는 mri 보더니 이정도면 괜찮다 견인치료와 충격파 시술 받고 가라고 했죠….저는 정확한 판단을 위해 ㄱㄴㅅㅅㅂㅇ 예약을 했는데 8월중순 으로 예약이 됐는데 좀 당겨져서 8월초에 다녀 왔네요…제 mri 사진이구요특이하게 디스크 파열 조각이 윗쪽으로 올라가 있어요…
93,복이17대전,2023.08.03. 13:26,"환자상태: 다리에 힘이 빠지는 증상이 1월부터 있었고, 천안 ㅅㅊㅎ대학병원에서 수술권유 받음. 붙잡고 지팡이 짚으면 걸을 수는 있는 상태. 대소변 마비는 없음1. ㅊㄴㄷ 신경외과 ㅇㅎㅈ예진하는 분이 먹는약, 다리 힘주는 상태 등 사전 관찰 후 교수님 진료.감압술 권유. 딱히 어디가 안좋다는 자세한 설명은 없으셨고, 이론상 수술이 맞는데, 신경이 눌린지 오래 되어 죽은 부분이 보이기때문에 수술 결과는 장담할 수 없지만, 부위가 나사를 박으나 안박으나 차이가 없어 유합술은 안해도 될거같다고함.2. ㅅㅁㅂㅇ 신경외과 ㅇㅈㅅ예진없이, 예약 시간보다 1시간 반 기다려서 봄.유합술 권유목도 수술할정도로 안좋고, 부분 부분 나쁜데 가장 나쁜 10-11번 척추를 수술해야하고, 이곳은 갈비뼈의 지탱도 없기 때문에 유합술이 낫다고 권함.유합술도 10에 1인은 부작용으로 못걸을 수 있는데,내 가족이라면 감압술은 부작용위험이 높아 못한다고 함예를들어 반지 낀 손가락에서 반지를 자르지 않고, 그 안쪽을 갈아내는것이라 신경을 안건드릴 수 없고, 그만큼 위험하다고 함. 부작용을 고려했을 때, 유합술 하자고 함. 물론, 유합술은 1-2년 뒤 또 잘못되어 부위 연장을 할 수도 있다. 그건 나중 문제다 라고 함.수술은 ㄷㅈㅅㅁ가 빠를거같은데, 단순히 나사 박는건 하지 말아야한다는 주변 조언으로 유합술은 미루고 있던 상태입니다. 어쩔까요??ㅜㅜㅜㅜ의사샘의 친절함, 자세한 설명, 자신감 있는 태도 등은 ㄷㅈㅅㅁ가 나아보였고... 수술방법의 차이가 있으니 고민이 되네요ㅠㅠ"
94,수원i으냥별이,2023.08.02. 18:36,흉추 요추 엠알 외부에서 찍어갔구요동네 정형외과에서 받은 엑스레이 사진도 들고갔습니다첫인상이 엉덩이를 앞으로 쭉빼고 앉아계서서 의사가 저래도 되나 싶은게 의외였어요흉추 엠알은 보시더니 퇴행이 심하다고 영상의학과에 판독의뢰하신다 하셨고 그리고 전방전위보려면 배 내밀고 한장찍고 구부리고 한장 찍은 엑스레이 필요한대 그런게 없다고 얼른 다시 찍어오라 하셔서 찍고 대기하다 다시 진료봤구요전방전위는 없다 하시곤요추는 보는둥 마는둥 하시길래이거저거 물었더니협착증은 없다디스크 내장증 맞다 하시더라구요그러면서 이 병은 수술하는 병이 아니니 약먹고 물리치료받고 운동해라허리 구부리는거 하지마라하시네요불친절까지는 아니셨지만역시나 대학병원이라 그런지자세한 설명은 못들었습니다한달뒤에 판독 결과 들으러 갑니다
95,박정은99,2023.08.02. 16:40,일주일 정도 전에 전방전위 판정받고 mri 찍었네요 무서워서 선생님께 수술 여쭤보니 수술 할 정도도 아니고 디스크고 전방 전위 때문에 튀어나온 것 처럼 보이는 정도라도 하시네요 도수치료 몇번 받고 심하데 아픈게 아니면 집에서 운동하면서 혼자 관리하라 하십니다 증상은 앉아있을때 좌우 종아리에 땡기는 느낌만 심하고 허리 통증은 전혀 없어요 한번씩 통증이 발까지 내려 가는거 같아 좀 무섭습니다 열심히 운동하며 자세 바로 하려 노력해야겠습니다
96,수카빌리지,2023.08.02. 15:47,안녕하세요남자 35살이고외근직종입니다.2월 초진에서 MRI판독결과 허리디스크 터졌다고하여약과 신경차단주사 1회로 잘 지내다가최근에 종아리쪽 통증이 다시와서회사 잠깐 쉬고 휴식하려고 진단서 요청때문에 방뮨드렸는데진료보던 ㅇㅈㅎ과장님은 장기학회간다해서ㅂㅂㅈ씨한테 진료보라고 연락이 와서 그렇게 진행했습니다.진단서와 진료의뢰서 요청했는데자기가 본 혼자가 아니라 제대로 써줄수없다라고 말씀하셔서 여태껏 진료본 내용을 토대로 작성해주실수 없냐고하니까이전 ㅇㅈㅎ 과장님이 자세하게 쓰질 않아서 잘 모르겠다 하시더라구요거기서 4개월동안 다녔던 병원에 대한 믿음이 무너지는 1차빡침그 후 3일 뒤 진단서 진료의뢰서 받으러 가니 진단서에는 휴식을 취하는 기간을 쏙 빼놓고 작성해주셨습니다. 진료의뢰서는 다른 병원에서도 길게 안적어쥬신다하여 이부분은 제가 감안했습니다.진단서 기간이 안나와있어서 다시 접수하고 진료받으니 교통사고도 아니고 휴식에 대한 기간을 정확하게 작성해줄수없다그러니 2주이상이라고만 작성해주겠다 이렇게 말씀하시더라구요의사의 태도는 그럴수있다 생각하지만 여태 제가 본 진료 기록이 자세하지가 않다라는 말이 좀 허무했습니다.그래서 척추전문병원은 약간 이런식으로 하나? 라는 생각도 들게되었구요인천에 거주하시거나 급해서 ㅎㄷㅇㅂㅅ병원을 가시게 된다면가지말라고는 못하지만 ㅂㅂㅈ씨는 제발 거르세요환자 쳐다도 안볼라고합니다. 눈은 마주치고 얘기했으면 좋겠네요ㅂㅂㅈ씨 거르세요 비추합니다
97,삼천갑자동방삭,2023.08.02. 15:36,- 척추질환과 관련하여 일반적인 모든 상담을 여러 환우분들에게 문의해 보세요.- 지금의 증상이나 치료 등 현재까지의 상황을 자세하게 적어주시기 바랍니다.- 병원과 의사명은 카페 회칙에 따라 초성으로 작성해 주시기 바랍니다.- 참고로 답변이 달린 게시글은 함부로 삭제하지 마시기 바랍니다.섬유륜 손상(디스크내장증)때문에 다른방법이 없어서 고주파수핵성형술이라도 한번 받을려고 하는데 혹시 반드시 걸러야 할곳이나 추천할곳이 있을까요?병원선택시 잘하는곳 못찾으면 걸러야 할곳이라도 찾아야 나을것 같아서요아님 다른 치료방법이 있을까요?
98,Darkducks,2023.08.02. 10:29,"7월 13일 가벼운 교통사고로 인하여 MRI찍다가 10번 11번 척추 종양 발견되었습니다. 작년 부터 허리가 아파서 정형외과 다니면서 신경성형술도 받긴했습니다. 급한마음에 요기 게시판을 읽어보니 이바닥 No.1 ㅅㅇㄷㅎ/ㅈㅊㄱ 교수님은 진단 확정이면 받아주신다고 해서 미친척하고 전화걸어서 예약도전해보니 18일 진료 예약 되었고, 그자리에서 수술일 31일로 확정 나서 30일 입원하였습니다. 31일 1번으로 수술하고 1시 30분쯤 회복실에서 나왔는데, 통증이 말도못하게 심합니다. 수술 후 병실로 올라오자마자 교수님이 강제로 일으켜세워서 걷기 운동시킵니다. 이번달이 정년인 그분은 뭔가 다정하게 이야기하는 슬의생 의사로 생각하시면 안됩니다. 수술 당일날 걸어라, 다음날 이제 뛰어야지, 셋째날 오늘 퇴원인데 한번 뛰어봐! 솔직히 맘이 약간 상합니다 간호사나 밑에 주치의 분도 불쌍한 눈으로 쳐다보고합니다. 이래저래 수술 완료하고 MRI찍으니 종양은 깨끗 합니다. 눌렸던 신경다발도 정상으로 돌아온듯하고 그런데 통증은 무시못합니다. 11시 이후 퇴원 수속 기다리면서 글 씁니다."
99,마스터중,2023.08.02. 03:48,"안녕하십니까노트북을 장시간 사용하는 직업을 가지고 있습니다.오래전부터 손목 통증? 저린느낌이 있었습니다..괜찮다가 저리고, 괜찮다가 저리고검색을 하다보니 목디스크 증상이라는 걸 보고 바로 병원을 다녀왔습니다 ㅜㅜ진료를 받고 목디스크 맞다고 하네요 ..하주사 맞고 의사분께 직업상 이런 상황이라 방법이 있겠냐 하니시선을 올려서 일해라, 자세교정에 집중해라이정도..?참 깨끗하게 치료할 수 없는 병이네요 ㅜ일단 노트북 거치대 바로 주문했고요사용하니 일단 괜찮더라고요 근데 휴대폰을 보면서 해야되서 고개를 자꾸 숙이게 되더라고요..또 찾아보니 휴대폰도 같이 거치되는 노트북 거치대가 있어서 바로 구매해서 사용중이고요.."
100,얌얌스스,2023.08.02. 00:37,"디스크 4,5번 꽤 많이 튀어나왔고 하지방사통이 있는 상태입니다 14년전 디스크 수술하고 지금 다시 재발된 상태입니다다른병원에서 mri찍은거 들고가서 상담 받앗어요첨에 들어갔는데 그냥 별말씀 없으시고음 그래서 뭐 어떻게? 이렇게 말씀하시길래뭐지 ? 했습니다어떻게 하는게 좋을지 물어보러 갔는데 오히려 저한테 어떻게 할지? 라고 물어보셔서..1차 당황엠알아이에 대한 설명은 일절 없었고 재발한 상태냐고 물어보셨고 그렇다 하면서 재발된 원인이 이런거 같다 이런저런 얘기 드렸더니지금 뭐 그상태면 그냥 약 먹던거 먹고 치료하는게 낫겠다 하시더라구요뭐 까치발 들어보라던가 신경 어떤지 잘 물어보지도 않으셨어요 이게 맞는지... 진료는 거의 안봐주시고 그냥 제가 물어봐야 답해주시고.. 뭔지 잘 모르겠습니다 그래서 약을 처방해주신다는건지.. 뭘 어떻게 하라는건지 모르겠는 상태에서 또 계속 여쭤봤어요 (여기 오기전에 첫번째로 갔던 정형외과에서는 많이 튀어나왔다고 바로 시술받자고 얘기하셨거든요)무튼 그래서 수술은 안해도 되냐 물었더니 통증이 엄청 심한거 아니면 안해도 된다 오래전에 수술햇던거면 내가 수술한것도 아니고 유착도 심해져 있을거라며 수술하기 좋은상황은 아니다 쉬운 수술은 아니다 라고 하셨네요그렇지만 엠알아이 보고도 설명도 딱히 안해주시고, 몸상태도 안봐주시고 진료를 받은건지 만건지 모른채로 나왔네요 원래 대학병원진료가 다 이런가요??어쨋든 수술은 안해도 된다고 하니 다행이긴 한데... 당황스럽네요"
101,상상미레,2023.08.01. 14:05,경추5.6.7 디스크 탈출로인한 극심한 팔 방사통으로 손을 내리지 못하고 저요저요 상태인데척전 마치통증과에서 아래 주사를 1주일동안 2번 맞았습니다.트리돌주사액로피바주사액디크놀주사액액상하이랙스주 (히알루로니다제)주사맞는 아픔도 참았건만 통증은 여전하네요 ㅠ1.인대강화주사라고만 알려주었는데프롤로주사랑 같은 건가요?2. 통증이 아직도 심해서 팔을 내리기가 어려워요 스테로이드 성분있으면 덜 아프다던데 스테로이드 성분이 없는건가요?도움주신 분들 모두 무통 평안하시기를 기원드립니다 ^^
